"job_name";"taxonomy";"coverage";"specificity";"accessions";"eligible";"match";"mismatch";"nodata";"outgroup_matchable";"outgroup_matched"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermogladius;";"0.0";"0";"4";"4";"0";"4";"0";"414911";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;";"0.0";"0";"9";"5";"0";"5";"4";"414910";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;uncultured;";"0.0";"0";"3";"0";"0";"0";"3";"414915";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignicoccaceae;";"0.0";"0";"11";"6";"0";"6";"5";"414909";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignicoccaceae;Ignicoccus;";"0.0";"0";"11";"6";"0";"6";"5";"414909";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignisphaeraceae;";"0.0";"0";"54";"23";"0";"23";"31";"414892";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignisphaeraceae;Ignisphaera;";"0.0";"0";"29";"11";"0";"11";"18";"414904";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignisphaeraceae;uncultured;";"0.0";"0";"24";"12";"0";"12";"12";"414903";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;";"0.0";"0";"30";"15";"0";"15";"15";"414900";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;";"0.0";"0";"3";"1";"0";"1";"2";"414914";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium;";"0.0";"0";"10";"10";"0";"10";"0";"414905";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;uncultured;";"0.0";"0";"13";"4";"0";"4";"9";"414911";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;uncultured;";"0.0";"0";"8";"3";"0";"3";"5";"414912";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;";"0.0";"0";"36";"26";"0";"26";"10";"414889";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;";"0.0";"0";"36";"26";"0";"26";"10";"414889";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus;";"0.0";"0";"15";"13";"0";"13";"2";"414902";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;uncultured;";"0.0";"0";"21";"13";"0";"13";"8";"414902";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Geoarchaeales;";"0.0";"0";"54";"40";"0";"40";"14";"414875";"6"
