"","Primer_name","Phyla","Reads","Total_reads","Relative_abundance","Target","Gen","Max","Min","Assay"
"286","Prot1702_32_F.EukB_MH_24_R","Chlorophyta",147,31647,0.0046449900464499,"Eukaryota","18S",500,400,"Test"
"287","Prot1702_32_F.EukB_MH_24_R","Cnidaria",5,31647,0.000157992858722786,"Eukaryota","18S",500,400,"Test"
"288","Prot1702_32_F.EukB_MH_24_R","Mucoromycota",3318,31647,0.104844061048441,"Eukaryota","18S",500,400,"Test"
"289","Prot1702_32_F.EukB_MH_24_R","Nematoda",21118,31647,0.667298638101558,"Eukaryota","18S",500,400,"Test"
"290","Prot1702_32_F.EukB_MH_24_R","Olpidiomycota",3,31647,9.47957152336714e-05,"Eukaryota","18S",500,400,"Test"
"291","Prot1702_32_F.EukB_MH_24_R","Platyhelminthes",31,31647,0.000979555724081272,"Eukaryota","18S",500,400,"Test"
"292","Prot1702_32_F.EukB_MH_24_R","Streptophyta",336,31647,0.0106171201061712,"Eukaryota","18S",500,400,"Test"
"293","Prot1702_32_F.EukB_MH_24_R","Tardigrada",15,31647,0.000473978576168357,"Eukaryota","18S",500,400,"Test"
"294","Prot1702_32_F.EukB_MH_24_R","Zoopagomycota",6,31647,0.000189591430467343,"Eukaryota","18S",500,400,"Test"
"295","Prot1702_32_F.EukB_MV_25_R","Apicomplexa",1949,14720,0.132404891304348,"Eukaryota","18S",500,400,"Test"
"296","Prot1702_32_F.EukB_MV_25_R","Arthropoda",17,14720,0.00115489130434783,"Eukaryota","18S",500,400,"Test"
"297","Prot1702_32_F.EukB_MV_25_R","Ascomycota",1521,14720,0.103328804347826,"Eukaryota","18S",500,400,"Test"
"298","Prot1702_32_F.EukB_MV_25_R","Basidiomycota",228,14720,0.0154891304347826,"Eukaryota","18S",500,400,"Test"
