"","Primer_name","Family","Reads","Total_reads","Relative_abundance","Target","Gen","Max","Min","Assay"
"172","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Viridiraptoridae",51,75007,0.000679936539256336,"Eukaryota","18S",400,300,"Test"
"173","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Wallemiaceae",140,75007,0.00186649246070367,"Eukaryota","18S",400,300,"Test"
"174","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Acanthamoebidae",58,141008,0.000411324180188358,"Eukaryota","18S",400,300,"Test"
"175","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Acaridae",50,141008,0.000354589810507205,"Eukaryota","18S",400,300,"Test"
"176","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Adeleidae",1501,141008,0.0106447861114263,"Eukaryota","18S",400,300,"Test"
"177","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Agaricaceae",19,141008,0.000134744127992738,"Eukaryota","18S",400,300,"Test"
"178","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Allapsidae",160,141008,0.00113468739362306,"Eukaryota","18S",400,300,"Test"
"179","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Arachnomycetaceae",57,141008,0.000404232383978214,"Eukaryota","18S",400,300,"Test"
"180","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Archaeorhizomycetaceae",106,141008,0.000751730398275275,"Eukaryota","18S",400,300,"Test"
"181","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Arthrodermataceae",259,141008,0.00183677521842732,"Eukaryota","18S",400,300,"Test"
"182","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Ascobolaceae",78,141008,0.00055316010439124,"Eukaryota","18S",400,300,"Test"
"183","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Aspergillaceae",1887,141008,0.0133822194485419,"Eukaryota","18S",400,300,"Test"
"184","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Balamuthiidae",41,141008,0.000290763644615908,"Eukaryota","18S",400,300,"Test"
"185","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Blepharismidae",3,141008,2.12753886304323e-05,"Eukaryota","18S",400,300,"Test"
"186","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Bracteacoccaceae",34,141008,0.0002411210711449,"Eukaryota","18S",400,300,"Test"
"187","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Bulleraceae",87,141008,0.000616986270282537,"Eukaryota","18S",400,300,"Test"
"188","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Bulleribasidiaceae",6,141008,4.25507772608646e-05,"Eukaryota","18S",400,300,"Test"
"189","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Calliphoridae",3,141008,2.12753886304323e-05,"Eukaryota","18S",400,300,"Test"
"190","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Cavosteliaceae",5,141008,3.54589810507205e-05,"Eukaryota","18S",400,300,"Test"
"191","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Cephalothecaceae",126,141008,0.000893566322478157,"Eukaryota","18S",400,300,"Test"
"192","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Ceratocystidaceae",35,141008,0.000248212867355044,"Eukaryota","18S",400,300,"Test"
"193","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Cercomonadidae",886,141008,0.00628333144218768,"Eukaryota","18S",400,300,"Test"
"194","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Chaetomiaceae",391,141008,0.00277289231816635,"Eukaryota","18S",400,300,"Test"
"195","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Chaetophoraceae",39,141008,0.00027658005219562,"Eukaryota","18S",400,300,"Test"
"196","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Chaetosphaeriaceae",17,141008,0.00012056053557245,"Eukaryota","18S",400,300,"Test"
"197","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Chlamydomonadaceae",70,141008,0.000496425734710087,"Eukaryota","18S",400,300,"Test"
"198","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Chlorellaceae",5107,141008,0.0362178032452059,"Eukaryota","18S",400,300,"Test"
"199","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Colpodellidae",11,141008,7.80097583115852e-05,"Eukaryota","18S",400,300,"Test"
"200","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Colpodidae",132,141008,0.000936117099739022,"Eukaryota","18S",400,300,"Test"
"201","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Coniochaetaceae",323,141008,0.00229065017587655,"Eukaryota","18S",400,300,"Test"
"202","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Conioscyphaceae",195,141008,0.0013829002609781,"Eukaryota","18S",400,300,"Test"
"203","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Cordycipitaceae",199,141008,0.00141126744581868,"Eukaryota","18S",400,300,"Test"
"204","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Cryptococcaceae",58,141008,0.000411324180188358,"Eukaryota","18S",400,300,"Test"
"205","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Cryptosporidiidae",9,141008,6.3826165891297e-05,"Eukaryota","18S",400,300,"Test"
"206","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Cunninghamellaceae",3,141008,2.12753886304323e-05,"Eukaryota","18S",400,300,"Test"
"207","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Cyrtolophosididae",6,141008,4.25507772608646e-05,"Eukaryota","18S",400,300,"Test"
"208","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Daphniidae",27,141008,0.000191478497673891,"Eukaryota","18S",400,300,"Test"
"209","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Debaryomycetaceae",1535,141008,0.0108859071825712,"Eukaryota","18S",400,300,"Test"
"210","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Densosporaceae",12,141008,8.51015545217293e-05,"Eukaryota","18S",400,300,"Test"
"211","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Desmidiaceae",12,141008,8.51015545217293e-05,"Eukaryota","18S",400,300,"Test"
"212","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Dipodascaceae",1935,141008,0.0137226256666288,"Eukaryota","18S",400,300,"Test"
"213","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Dissoconiaceae",6,141008,4.25507772608646e-05,"Eukaryota","18S",400,300,"Test"
"214","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Ebriidae",28,141008,0.000198570293884035,"Eukaryota","18S",400,300,"Test"
"215","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Eimeriidae",223,141008,0.00158147055486214,"Eukaryota","18S",400,300,"Test"
"216","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Endogonaceae",21,141008,0.000148927720413026,"Eukaryota","18S",400,300,"Test"
"217","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Epibryaceae",28,141008,0.000198570293884035,"Eukaryota","18S",400,300,"Test"
"218","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Erysiphaceae",7,141008,4.96425734710087e-05,"Eukaryota","18S",400,300,"Test"
"219","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Filobasidiaceae",132,141008,0.000936117099739022,"Eukaryota","18S",400,300,"Test"
"220","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Gloeocystidiellaceae",13,141008,9.21933507318734e-05,"Eukaryota","18S",400,300,"Test"
"221","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Glomosporiaceae",32,141008,0.000226937478724611,"Eukaryota","18S",400,300,"Test"
"222","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Graphiolaceae",16,141008,0.000113468739362306,"Eukaryota","18S",400,300,"Test"
